Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
CENTER ON GENETIC DETERMINANTS OF ALCOHOL INGESTION AND RESPONSES TO ALCOHOL,NIAAA,8989061,4P60AA007611-29,4,P60,AA,7611,29,,,1868766,"CRABB, DAVID W",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,1702588,
TRANSLATIONAL RESEARCH AND EVOLVING ALCOHOLIC HEPATITIS TREATMENT (TREAT-IU),NIAAA,9093662,4U01AA021840-05,4,U01,AA,21840,5,,,1868766,"CRABB, DAVID W ","CHALASANI, NAGA P",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,862255,
TRANSLATIONAL RESEARCH AND EVOLVING ALCOHOLIC HEPATITIS TREATMENT (TREAT-ADMIN),NIAAA,9093659,4U01AA021883-05,4,U01,AA,21883,5,,,1868766,"CRABB, DAVID W",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,39000,
PARENTS' EXPERIENCES IN PEDIATRIC ONCOLOGY PHASE 1 CLINICAL TRIALS,NINR,9195616,5F31NR015393-02,5,F31,NR,15393,2,,,11867271,"CRANE, STACEY ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,37511,
MECHANISTIC AND INFORMATICS BASED ANALYSIS OF STAT1 ACTIONS IN PANCREATIC CANCER,NCI,9110711,5F30CA200301-02,5,F30,CA,200301,2,,,11496399,"CRAVEN, KELLY EILEEN",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,47585,
EPISODIC MEMORY PROTECTION IN APOLIPOPROTEIN E (APOE) KNOCKOUT RATS,NIA,9013309,1R21AG051753-01,1,R21,AG,51753,1,,,2285296,"CRYSTAL, JONATHON D",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,234000,
HOST CONTROL OF VIRAL PROTEIN FUNCTION:  PHOSPHORYLATION IN THE PAPILLOMAVIRUS E2,NIAID,9112861,5F30AI114284-03,5,F30,AI,114284,3,,,11036420,"CULLETON, SARA POIRIER",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,44680,
SODIUM CHANNELS AND ELECTROGENESIS IN SENSORY NEURONS,NINDS,9195766,2R01NS053422-10A1,2,R01,NS,53422,10,A1,,1932962,"CUMMINS, THEODORE R",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,409484,
TRAINING GRANT ON GENETIC ASPECTS OF ALCOHOLISM,NIAAA,9072888,2T32AA007462-31,2,T32,AA,7462,31,,,1870297,"CZACHOWSKI, CRISTINE L",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,498267,
RISKS AND BENEFITS OF ADHD MEDICATION FOR PSYCHIATRIC AND NEUROLOGIC PROBLEMS,NIMH,9102269,5R01MH102221-03,5,R01,MH,102221,3,,,8868103,"D'ONOFRIO, BRIAN M ","LARSSON, HENRIK ",INDIANA UNIVERSITY BLOOMINGTON, ,2016,442603,
MODIFYING KIDNEY INJURY THROUGH P53 SIGNALING.,NIDDK,9031101,5R01DK099345-03,5,R01,DK,99345,3,,,8429557,"DAGHER, PIERRE C ","SUTTON, TIMOTHY ALAN",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,338626,
ENDOTOXIN PRECONDITIONING AS A MODEL TO UNCOVER PROTECTIVE PATHWAYS IN SEPSIS-INDUCED RENAL INJURY.,NIDDK,9172789,1R01DK107623-01A1,1,R01,DK,107623,1,A1,,8429557,"DAGHER, PIERRE C",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,371528,
FINE-TUNING OF HEMATOPOIESIS BY THE MIRN23A/B MIRNA CLUSTERS,NIDDK,9080510,1R01DK109051-01,1,R01,DK,109051,1,,,8134101,"DAHL, RICHARD E",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,280800,
VIBRIO CHOLERAE-CHITIN INTERACTIONS AND THEIR ROLE IN CHOLERA TRANSMISSION AND EVOLUTION,NIAID,9094029,1K22AI118863-01A1,1,K22,AI,118863,1,A1,,9902511,"DALIA, ANKUR ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,161032,
MOLECULAR CONTROL OF SPERMATOGONIAL STEM CELL FATE FOR ACHIEVING CELL THERAPY,NICHD,8986803,4R01HD071081-04,4,R01,HD,71081,4,,,9639238,"DANN, CHRISTINA TENENHAUS",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,296061,
EFFECT OF VIRAL CAPSID STABILITY AND FLEXIBILITY ON VIRAL PATHOGENESIS,NIAID,9112852,5R01AI110637-03,5,R01,AI,110637,3,,,8682067,"DANTHI, PRANAV ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,338304,
THE ROLE OF LMO2 IN THE PATHOGENESIS OF T-CELL LEUKEMIA,NCI,9156838,1R01CA207530-01,1,R01,CA,207530,1,,,8482382,"DAVE, UTPAL P",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,362066,
IU TRAINING PROGRAM IN MOLECULAR PHYSIOLOGY AND CLINICAL MECHANISMS OF LUNG DISEA,NHLBI,8976284,5T32HL091816-07,5,T32,HL,91816,7,,,9199606,"DAVIS, STEPHANIE DUGGINS ","GERACI, MARK W",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,322369,
ADRENAL ANDROGENS REGULATE AGGRESSION THROUGH NOVEL ACTIONS OF MELATONIN,NIMH,9244893,1R21MH109942-01A1,1,R21,MH,109942,1,A1,,2095313,"DEMAS, GREGORY E",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,243394,
EVALUATION OF BRUTON?S TYROSINE KINASE AND P110 DELTA IN MUTANT SHP2-INDUCED JMML,NCI,9191475,1F30CA210518-01,1,F30,CA,210518,1,,,11792595,"DENG, LISA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,36738,
THE ROLE OF TLR3 SIGNALING IN CHLAMYDIA CAUSED UROGENITAL PATHOLOGY,NIAID,9117379,5R01AI104944-03,5,R01,AI,104944,3,,,7899787,"DERBIGNY, WILBERT A",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,385091,
INDIANA UNIVERSITY COMPREHENSIVE TRAINING  IN CLINICAL PHARMACOLOGY,NIGMS,9068935,4T32GM008425-24,4,T32,GM,8425,24,,,8428831,"DESTA, ZERUESENAY ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,272175,
INVESTIGATION OF THE TAU GENE NETWORK AND QUANTITATIVE ALZHEIMER'S DISEASE BIOMARKER PHENOTYPES,NIA,9166858,1R36AG053445-01,1,R36,AG,53445,1,,,10794822,"DETERS, KACIE ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,67667,
PLASMACYTOID DENDRITIC CELLS IN MALIGNANT GLIOMA,NINDS,9178876,1K08NS092895-01A1,1,K08,NS,92895,1,A1,,11075380,"DEY, MAHUA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,186530,
TYPE 1 DIABETES TRIALNET AT INDIANA UNIVERSITY CLINICAL CENTER,NIDDK,9113605,5U01DK107014-02,5,U01,DK,107014,2,,,6586216,"DIMEGLIO, LINDA A",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,458609,
ADVANCING METHODS TO MEASURE AND IMPROVE THE QUALITY OF LARGE SCALE HEALTH DATA,NLM,9119608,5R21LM012219-02,5,R21,LM,12219,2,,,11093048,"DIXON, BRIAN E.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,200317,
REGULATION OF HEPATIC LIPID METABOLISM BY A NOVEL FOXO PATHWAY,NIDDK,9018006,4R01DK091592-05,4,R01,DK,91592,5,,,8622706,"DONG, X CHARLIE",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,339300,
ENGINEERED VIRUS-LIKE NANOPARTICLES TARGETING IMMUNITY NEEDED FOR PAN FLU VACCINE,NIAID,9065483,5R01AI104905-05,5,R01,AI,104905,5,,,7355778,"DOUGLAS, TREVOR  ","HARMSEN, ALLEN G",INDIANA UNIVERSITY BLOOMINGTON, ,2016,461556,
PACIFIC SYMPOSIUM ON BIOCOMPUTING,NLM,9117642,5R13LM006766-20,5,R13,LM,6766,20,,,1880689,"DUNKER, ALAN KEITH",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,20000,
THE DEVELOPMENT OF THERMALLY-ACTIVATED METALLOENEDIYNES FOR CANCER THERAPY,NCI,9068870,5R01CA196293-02,5,R01,CA,196293,2,,,6950127,"DYNLACHT, JOSEPH R ","ZALESKI, JEFFREY M",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,505001,
ANTIBACTERIAL ACTIVITY OF PEPTIDOGLYCAN RECOGNITION PROTEINS,NIAID,9000206,1R01AI120962-01,1,R01,AI,120962,1,,,1970089,"DZIARSKI, ROMAN ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,390000,
ACUTE INHIBITION OF RENAL GENE EXPRESSION TO PREVENT NEPHROTOXICITY.,NIDDK,9013335,1K08DK107864-01,1,K08,DK,107864,1,,,10868419,"EADON, MICHAEL THOMAS",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,145955,
IRON THERAPY FOR AUTOSOMAL DOMINANT HYPOPHOSPHATEMIC RICKETS: A PILOT PROJECT,NIAMS,9131615,5R21AR068615-02,5,R21,AR,68615,2,,,6166274,"ECONS, MICHAEL J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,199813,
WEAKENED SPINDLE CHECKPOINT IN VIVO: A CAUSE OF ANEUPLOIDY AND CANCER IN FA?,NCI,9191387,1F30CA200227-01A1,1,F30,CA,200227,1,A1,,12008370,"EDWARDS, DONNA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,27801,
CONSEQUENCES OF VOLUNTARY INTAKE OF ETHANOL & NICOTINE DURING PERI-ADOLESCENCE,NIAAA,9069360,4R01AA020396-05,4,R01,AA,20396,5,,,7835013,"ENGLEMAN, ERIC A. ","BELL, RICHARD LOWELL",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,245700,
ENDOCRINE SCIENTISTS TRAINING PROGRAM,NIDDK,9087246,5T32DK065549-12,5,T32,DK,65549,12,,,2046032,"EUGSTER, ERICA A",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,200491,
MECHANISMS OF BETA CELL FUNCTION IN HEALTH AND DISEASE,NIDDK,9264200,2R01DK093954-06A1,2,R01,DK,93954,6,A1,,8206234,"EVANS-MOLINA, CARMELLA EVANS",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,439905,
INHIBITION OF PGE2 FOR MOBILIZATION OF AUTOLOGOUS PERIPHERAL BLOOD STEM CELLS,NCI,9052158,5R01CA182947-03,5,R01,CA,182947,3,,,6916513,"FARAG, SHERIF S ","PELUS, LOUIS M",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,321933,
BEHAVIORAL DISINHIBITION IN EARLY-ONSET ALCOHOLISM,NIAAA,9107759,5R01AA013650-13,5,R01,AA,13650,13,,,2415955,"FINN, PETER R",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,467758,
ENDOCARDIAL MECHANISMS OF CARDIAC TRABECULATION AND SEPTATION,NHLBI,8962162,5R01HL120920-03,5,R01,HL,120920,3,,,1974358,"FIRULLI, ANTHONY B.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,477360,
CELLULAR AND MOLECULAR MECHANISMS OF LEFT VENTRICULAR GROWTH AND MORPHOGENESIS,NHLBI,8962164,5R01HL122123-03,5,R01,HL,122123,3,,,1974358,"FIRULLI, ANTHONY B.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,390000,
INDIANA UNIVERSITY (IU) CLINICAL CENTER FOR CHRONIC PANCREATITIS CLINICAL RESEARCH NETWORK,NIDDK,9150597,5U01DK108323-02,5,U01,DK,108323,2,,,8796560,"FOGEL, EVAN ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,387270,
3D FACIAL IMAGING IN FASD,NIAAA,9061507,4U01AA014809-13,4,U01,AA,14809,13,,,1918857,"FOROUD, TATIANA M. ","HAMMOND, PETER ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,289568,
NATIONAL CELL RESPOSITORY FOR ALZHEIMER'S DISEASE (NCRAD) (U24),NIA,9319423,3U24AG021886-15S1,3,U24,AG,21886,15,S1,,1918857,"FOROUD, TATIANA M.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,156000,
NATIONAL CELL REPOSITORY FOR ALZHEIMER'S DISEASE (NCRAD),NIA,9207156,2U24AG021886-15,2,U24,AG,21886,15,,,1918857,"FOROUD, TATIANA M.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,1373760,
NINDS BIOMARKER REPOSITORY,NINDS,9149070,5U24NS095871-02,5,U24,NS,95871,2,,,1918857,"FOROUD, TATIANA M.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,1459432,
PRESERVATION AND RESTORATION OF FUNCTIONAL BETA CELL MASS,NIDDK,9020950,5R01DK099311-03,5,R01,DK,99311,3,,,8780426,"FUEGER, PATRICK T.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,142313,
LONGITUDINAL INTERACTIVE VASCULAR EXPOSURE AND ALZHEIMER'S DISEASE,NIA,9041471,5R01AG045350-03,5,R01,AG,45350,3,,,2198780,"GAO, SUJUAN ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,311003,
GENETIC DISRUPTION OF PAK PREVENTS NF2-DEFICIENT SCHWANNOMAS AND HEARING LOSS,NIDCD,9088395,5F30DC014197-03,5,F30,DC,14197,3,,,11258301,"GEHLHAUSEN, JEFF R",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,44680,
PULMONARY HYPERTENSION BREAKTHROUGH INITIATIVE,NHLBI,9103243,5R24HL123767-04,5,R24,HL,123767,4,,,1887562,"GERACI, MARK W ","ERZURUM, SERPIL C.;GRIZZLE, WILLIAM E.;MCLAUGHLIN, VALLERIE ;RABINOVITCH, MARLENE ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,2518872,
10TH INTERNATIONAL CONFERENCE ON FRONTOTEMPORAL DEMENTIAS,NIA,9125549,1R13AG053039-01,1,R13,AG,53039,1,,,1878517,"GHETTI, BERNARDINO FRANCESCO",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,50000,
BIOSAFETY AND INFECTIOUS DISEASE TRAINING INITIATIVE,NIEHS,9169858,1UH4ES027055-01,1,UH4,ES,27055,1,,,7764939,"GIBBS, SHAWN G ","LOWE, JOHN J",INDIANA UNIVERSITY BLOOMINGTON, ,2016,405856,
GRADUATE PROGRAM IN QUANTITATIVE AND CHEMICAL BIOLOGY AT INDIANA UNIVERSITY BLOOM,NIGMS,9066152,5T32GM109825-03,5,T32,GM,109825,3,,,1898348,"GIEDROC, DAVID P.",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,184424,
INTERPLAY OF TRANSITION METAL HOMEOSTASIS AND REACTIVE SULFUR SPECIES IN BACTERIAL PATHOGENS,NIGMS,9071683,1R35GM118157-01,1,R35,GM,118157,1,,,1898348,"GIEDROC, DAVID P.",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,579235,
REPROGRAMMING OF HOST CELL CHOLESTEROL HOMEOSTASIS BY COXIELLA BURNETII,NIAID,9016852,1R21AI121786-01,1,R21,AI,121786,1,,,8737067,"GILK, STACEY D",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,230841,
DEVELOPMENT OF A MULTISCALE MECHANISTIC SIMULATION OF ACETAMINOPHEN INDUCED LIVER,NIGMS,9102127,5U01GM111243-03,5,U01,GM,111243,3,,,7819524,"GLAZIER, JAMES ALEXANDER ","DUNN, KENNETH W;KLAUNIG, JAMES E",INDIANA UNIVERSITY BLOOMINGTON, ,2016,520040,
TREATING INFLAMMATION IN PCOS TO AMELIORATE OVARIAN DYSFUNCTION,NIDDK,9122848,1R01DK107605-01A1,1,R01,DK,107605,1,A1,,6568960,"GONZALEZ, FRANK ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,734614,
LXR AS A NOVEL THERAPEUTIC TARGET IN DIABETIC RETINOPATHY,NEI,9127977,5R01EY025383-02,5,R01,EY,25383,2,,,1893849,"GRANT, MARIA BARTOLOMEO ","BOULTON, MICHAEL EDWIN;BUSIK, JULIA V",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,532879,
(PQ#9)TARGETING LEAKY RYANODINE RECEPTOR (RYR2) TO TREAT AND PREVENT CHEMOTHERAPY-ASSOCIATED COGNITIVE DYSFUNCTION IN PATIENTS WITH BREAST CANCER.,NCI,9101318,1R01CA206025-01,1,R01,CA,206025,1,,,1898856,"GUISE, THERESA A ","MARKS, ANDREW ROBERT;TERRITO, PAUL RICHARD",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,655037,
SMOOTH MUSCLE MECHANISMS IN DYNAMIC AIRWAY PROPERTIES,NHLBI,9002083,4R01HL029289-29,4,R01,HL,29289,29,,,1916185,"GUNST, SUSAN J.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,525514,
TARGETING ACTIN DYNAMICS TO INHIBIT AIRWAY HYPPERRESPONSIVENESS AND INFLAMMATION,NHLBI,9060996,4R01HL109629-04,4,R01,HL,109629,4,,,1916185,"GUNST, SUSAN J. ","TEPPER, ROBERT S.",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,550822,
MOLECULAR MECHANISMS OF HBV CCCDNA FORMATION,NIAID,9104569,1R01AI110762-01A1,1,R01,AI,110762,1,A1,,8531594,"GUO, HAITAO ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,381600,
HIV; DEPRESSION; AND CARDIOVASCULAR RISK,NHLBI,9128043,5R01HL126557-03,5,R01,HL,126557,3,,,7283393,"GUPTA, SAMIR KUMAR ","FREIBERG, MATTHEW S;STEWART, JESSE C",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,721761,
HIV; INTERMEDIATE MONOCYTES; AND ENDOTHELIAL COLONY FORMING CELLS,NHLBI,9100524,5R21HL129865-02,5,R21,HL,129865,2,,,7283393,"GUPTA, SAMIR KUMAR ","YODER, MERVIN C.",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,234000,
PHARMACOKINETICS AND MODELING OF BETAMETHASONE THERAPY IN THREATENED PRETERM BIRTH,NICHD,9123871,1R01HD088014-01,1,R01,HD,88014,1,,,8467367,"HAAS, DAVID M.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,461774,
PREGNANCY AS A WINDOW TO FUTURE CARDIOVASCULAR HEALTH,NHLBI,9061807,4U10HL119990-04,4,U10,HL,119990,4,,,8467367,"HAAS, DAVID M.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,52483,
ANALYSES OF HOST PROTEINS REGULATING ALPHAVIRUS GENOME FUNCTION,NIAID,9013660,1R21AI121450-01,1,R21,AI,121450,1,,,6268672,"HARDY, RICHARD W",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,229888,
STATISTICAL MODELS FOR MULTI-MODAL BRAIN IMAGING STUDIES OF HIV-ASSOCIATED COGNITIVE DECLINE,NIMH,9136882,5R01MH108467-02,5,R01,MH,108467,2,,,9238045,"HAREZLAK, JAROSLAW ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,394237,
MODELING INNER EAR DIFFERENTIATION WITH PLURIPOTENT STEM CELLS,NIDCD,9022463,5R01DC013294-03,5,R01,DC,13294,3,,,1881911,"HASHINO, ERI ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,431895,
STREET-CROSSING DECISION MAKING IN LOW VISION,NEI,9096805,4R01EY022147-05,4,R01,EY,22147,5,,,7348515,"HASSAN, SHIRIN E",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,391441,
DELETION OF ARID1A AND KRAS AS A MODEL OF ENDOMETRIOSIS-ASSOCIATED OVARIAN CANCER,NCI,9022743,1R03CA191527-01A1,1,R03,CA,191527,1,A1,,9871710,"HAWKINS, SHANNON MICHELLE",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,78000,
AN INTEGRATIVE APPROACH TO IDENTIFY CAUSAL EPIGENETIC MARKERS FOR BREAST CANCER,NCI,9068868,5R01CA194030-02,5,R01,CA,194030,2,,,9152491,"HE, CHUNYAN ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,493991,
TRACE ELEMENT LEVELS AND RISK OF STROKE,NIEHS,9052192,4R01ES021735-05,4,R01,ES,21735,5,,,8139140,"HE, KA  ","MCCLURE, LESLIE AIN",INDIANA UNIVERSITY BLOOMINGTON, ,2016,516628,
ASSESSING AIR POLLUTION EXPOSURES AMONG A VULNERABLE RURAL DISPARITIES POPULATION,NIEHS,9171217,1R15ES026394-01A1,1,R15,ES,26394,1,A1,,1889164,"HENDRYX, MICHAEL S",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,470625,
THE EFFECTS OF ELECTRONIC CIGARETTE USE ON ALCOHOL CONSUMPTION: A NEUROCOGNITIVE AND BEHAVIORAL INVESTIGATION,NIAAA,9123106,1F31AA024682-01A1,1,F31,AA,24682,1,A1,,12584717,"HERSHBERGER, ALEXANDRA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,41966,
CEREBELLAR DYSFUNCTION IN SCHIZOPHRENIA,NIMH,9085369,4R01MH074983-10,4,R01,MH,74983,10,,,6986524,"HETRICK, WILLIAM P",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,390000,
TRAINING IN CLINICAL TRANSLATIONAL SCIENCE: MAXIMIZING THE PUBLIC HEALTH IMPACT,NIMH,9119061,5T32MH103213-02,5,T32,MH,103213,2,,,6986524,"HETRICK, WILLIAM P",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,279552,
PURCHASE OF LAMINAR FLOW WORKSTATIONS AND BIOSAFETY CABINETS TO PROTECT PERSONNEL AND ANIMALS,OD,9119453,1G20OD021938-01,1,G20,OD,21938,1,,,9991363,"HICKMAN, DEBRA L",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,325072,
THE QUALITY OF POLST DECISIONS IN THE NURSING FACILITY SETTING,NINR,9139984,5R01NR015255-02,5,R01,NR,15255,2,,,6484624,"HICKMAN, SUSAN E",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,574344,
VIRTUAL PERSPECTIVE-TAKING TO REDUCE RACE AND SES DISPARITIES IN PAIN CARE,NIMHD,9042874,5R01MD008931-03,5,R01,MD,8931,3,,,7888199,"HIRSH, ADAM T",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,365066,
STRUCTURE AND FUNCTION OF THE PARKINSON'S DISEASE ASSOCIATED PROTEIN LRRK2,NIGMS,9034594,5R01GM111639-02,5,R01,GM,111639,2,,,9489827,"HOANG, QUYEN QUOC",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,299725,
PROMOTION OF PANCREATIC CANCER BY PERFLUOROOCTANOIC ACID,NIEHS,9171188,1R15ES026370-01A1,1,R15,ES,26370,1,A1,,8664405,"HOCEVAR, BARBARA A",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,471248,
NOS1AP AS A NOVEL TARGET FOR TREATING PATHOLOGICAL PAIN,NCI,9055954,1R01CA200417-01A1,1,R01,CA,200417,1,A1,,1980957,"HOHMANN, ANDREA GRACE ","COURTNEY, MICHAEL ",INDIANA UNIVERSITY BLOOMINGTON, ,2016,295021,
ROLE OF CB2 IN ANALGESIC MECHANISMS,NIDA,9127680,1R01DA041229-01A1,1,R01,DA,41229,1,A1,,1980957,"HOHMANN, ANDREA GRACE ","MACKIE, KENNETH P.",INDIANA UNIVERSITY BLOOMINGTON, ,2016,351000,
A NOVEL MECHANISM FOR DECREASING OPIOID REWARD,NIDA,9197559,1R21DA042584-01,1,R21,DA,42584,1,,,1980957,"HOHMANN, ANDREA GRACE ","REBEC, GEORGE VINCENT",INDIANA UNIVERSITY BLOOMINGTON, ,2016,195156,
A HUMAN FACTORS APPROACH TO SUPPORT OLDER CHRONICALLY ILL PATIENTS' HOME CARE,NIA,9031036,5K01AG044439-03,5,K01,AG,44439,3,,,9742424,"HOLDEN, RICHARD J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,119313,
ADVANCES IN RENAL IMAGING,NIDDK,9260999,1R13DK112668-01,1,R13,DK,112668,1,,,7029804,"HOLLAND, MARK R",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,10000,
THE ROLE OF LYSINE METHYLATION IN REGULATING THE MOTILITY OF TOXOPLASMA GONDII,NIAID,8968810,4R01AI098686-04,4,R01,AI,98686,4,,,8768230,"HU, KE ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,392367,
NEURAL RESPONSE TO RISKY DECISION MAKING IN YOUTH AT HIGH RISK FOR SUBSTANCE USE DISORDERS AND HIV,NIDA,9064499,1R01DA039764-01A1,1,R01,DA,39764,1,A1,,10407419,"HULVERSHORN, LESLIE A.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,678820,
SPEECH RECOGNITION BY THE HEARING IMPAIRED ELDERLY,NIA,9069672,5R01AG008293-23,5,R01,AG,8293,23,,,1889060,"HUMES, LARRY E",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,314988,
TARGETING OVARIAN CANCER STEM CELLS THROUGH SELECTIVE INHIBITION OF ALDH1A1,NCI,9068872,5R21CA198409-02,5,R21,CA,198409,2,,,1899198,"HURLEY, THOMAS D. ","MATEI, DANIELA E",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,169467,
INTEGRATED TOOLS FOR QUANTITATIVE WHOLE-BODY TUMOR PERFUSION IMAGING,NCI,9174261,1R01CA202695-01A1,1,R01,CA,202695,1,A1,,2063004,"HUTCHINS, GARY D ","GREEN, MARK A",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,591408,
